id,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime
53,15,55,21,C,F,South East,London,Silver,5000,4
54,15,46,52,F,F,North,N West,Silver,1000,4
55,10,66,23,C,F,Midlands,Wales & West,Gold,6000,2
56,11,NA,20,C,F,North,N East,Silver,1000,5
57,11,73,5,B,,South East,London,Gold,6000,4
58,9,72,NA,,F,Midlands,East,Tin,0.01,9
59,7,77,16,C,F,Midlands,Midlands,Silver,1000,18
60,13,70,5,B,,South East,London,Silver,2884.96,8
61,8,76,22,C,F,South East,London,Tin,0.01,7
62,8,45,4,A,,Scottish,C Scotland,Tin,0.01,5
63,7,53,14,B,M,South East,London,Silver,3000,9
64,NA,NA,38,E,F,North,Yorkshire,Tin,0.01,7
65,13,30,25,C,M,,,Silver,3000,3
66,11,40,34,D,F,,,Silver,750,8
67,7,34,27,D,U,North,N East,Gold,11000,2
68,7,70,18,C,M,North,N West,Silver,3000,13
69,11,74,19,C,F,Scottish,N Scot,Silver,150,2
70,NA,55,52,F,F,South East,London,Gold,5600,8
71,12,33,38,E,F,South East,London,Tin,0.01,8
72,7,58,12,B,M,North,N West,Silver,50.01,8
73,9,43,31,D,F,South East,London,Silver,3000.01,5
74,9,64,2,A,F,North,N West,Silver,4284.25,12
75,15,76,4,A,F,South East,S & S East,Silver,5000,4
76,9,58,25,C,F,North,N West,Gold,12106.69,7
77,12,NA,28,D,F,South East,London,Silver,3000,15
78,10,51,18,C,F,South East,S & S East,Gold,6000,6
79,5,74,32,D,,North,Yorkshire,Silver,2800,2
80,5,63,35,D,M,Midlands,East,Silver,5000,2
81,10,38,53,F,F,Midlands,East,Silver,285.01,8
82,5,71,6,B,M,North,N West,Gold,12000,2
83,9,50,17,C,F,Scottish,N Scot,Silver,0.02,4
84,NA,53,14,B,F,Midlands,Midlands,Gold,6762.98,29
85,10,52,25,C,F,South East,London,Tin,0.01,8
86,5,54,21,C,M,South East,London,Silver,4800,7
87,11,47,34,D,M,Midlands,East,Silver,100,5
88,7,65,52,F,F,Midlands,Midlands,Silver,4100,10
89,16,41,32,D,M,Midlands,East,Tin,0.01,4
90,19,NA,50,F,M,Scottish,C Scotland,Tin,0.01,5
91,NA,32,12,B,F,South East,London,Tin,0.01,5
92,13,38,52,F,F,South East,London,Tin,0.01,7
93,7,63,27,D,F,South East,S & S East,Silver,4842.12,8
94,11,65,36,E,,South East,London,Silver,4391.56,18
95,9,38,38,E,F,North,Yorkshire,Gold,5500,12
96,13,49,37,E,F,South East,S & S East,Platinum,25000,4
97,6,65,16,C,F,North,N West,Silver,3500,8
98,12,58,17,C,F,South East,London,Silver,3000,4
99,10,35,38,E,F,South East,London,Tin,0.01,8
100,12,65,47,F,F,North,N East,Silver,2500,1
101,13,64,5,B,M,North,N West,Gold,12000,8
102,10,NA,NA,,F,Midlands,Ulster,Silver,2000,13
103,9,56,32,D,F,North,N West,Silver,2074,4
104,9,47,1,A,F,Scottish,C Scotland,Tin,0.01,4
105,10,43,49,F,M,Midlands,East,Tin,0.01,8
106,5,77,18,C,F,South East,S & S East,Silver,250,19
107,5,45,21,C,F,South East,London,Tin,0.01,8
108,9,78,4,A,M,Midlands,Midlands,Silver,1000,3
109,5,60,35,D,F,North,N West,Gold,6000,4
110,8,63,16,C,,North,N East,Silver,500,1
111,12,61,11,B,F,Scottish,N Scot,Silver,4000,1
112,NA,37,22,C,F,North,N West,Tin,0.01,11
113,10,74,29,D,,South East,London,Gold,16000,4
114,5,43,22,C,M,South East,London,Gold,6000,5
115,8,28,50,F,M,Midlands,Midlands,Tin,0.01,8
116,12,74,3,A,F,Midlands,East,Gold,6000,5
117,2,51,30,D,F,Midlands,Wales & West,Silver,3600,11
118,14,69,16,C,F,Scottish,C Scotland,Platinum,31800,6
119,6,74,8,B,M,South East,S & S East,Silver,3000,12
120,19,31,40,E,F,South East,London,Tin,0.01,8
121,8,65,22,C,F,South East,S & S East,Tin,0.01,4
122,8,35,5,B,F,Midlands,Midlands,Tin,0.01,7
123,11,71,16,C,F,North,N East,Gold,5200,11
124,13,38,48,F,F,South East,London,Tin,0.01,4
125,8,61,10,B,M,North,N East,Gold,8107.64,5
126,10,75,19,C,M,South East,London,Platinum,26000,4
127,6,56,41,E,,South East,S & S East,Platinum,20718.19,3
128,10,NA,6,B,M,South West,S West,Silver,3000,5
129,7,30,27,D,U,South East,London,Tin,0.01,NA
130,4,52,10,B,F,South East,London,Gold,9200,16
131,2,46,5,B,F,South East,S & S East,Gold,6000,2
132,NA,65,NA,,M,South East,London,Silver,4000,4
133,10,NA,5,B,M,North,N West,Tin,0.01,5
134,13,42,42,E,,Midlands,Midlands,Silver,0.02,8
135,11,62,35,D,F,South East,S & S East,Silver,5000,1
136,7,33,44,E,M,South East,London,Tin,0.01,5
137,6,61,15,B,M,North,N West,Silver,3000,8
138,11,52,52,F,M,Scottish,C Scotland,Platinum,22000,1
139,4,49,49,F,F,North,Yorkshire,Silver,4200,6
140,8,75,19,C,M,South East,S & S East,Silver,2500,3
141,NA,66,9,B,M,South East,London,Silver,2035.88,4
142,3,51,28,D,M,North,N West,Tin,0.01,5
143,5,52,35,D,,North,N West,Tin,0.01,5
144,11,47,53,F,U,North,Yorkshire,Gold,6000,2
145,7,35,NA,,F,South East,S & S East,Tin,0.01,5
146,NA,43,41,E,M,Scottish,C Scotland,Tin,0.01,8
147,12,36,52,F,M,South East,London,Tin,0.01,5
148,11,68,27,D,F,South East,London,Platinum,20499.3,3
149,8,44,9,B,F,South East,London,Silver,1000,11
150,10,69,13,B,,South East,S & S East,Platinum,22000,5
151,11,66,50,F,M,Midlands,East,Platinum,26693.76,3
152,3,67,24,C,U,South East,S & S East,Gold,9000,8
153,8,59,28,D,F,South East,London,Tin,0.01,8
154,6,53,35,D,F,North,Yorkshire,Gold,6053.35,6
155,12,43,52,F,F,Midlands,East,Tin,0.01,4
156,10,69,28,D,F,North,N West,Silver,2000,8
157,13,NA,42,E,F,South East,S & S East,Silver,1000,6
158,3,68,25,C,F,South East,London,Gold,6000,5
159,22,54,12,B,F,Midlands,Midlands,Silver,480,11
160,9,70,6,B,F,South East,S & S East,Silver,3000,5
161,6,73,38,E,F,South East,London,Silver,1780.55,6
162,9,71,15,B,F,Scottish,C Scotland,Silver,4000,7
163,7,51,13,B,F,,,Silver,3000,3
164,11,58,49,F,F,South West,S West,Silver,1200.01,8
165,3,70,10,B,,Midlands,Midlands,Gold,8053.35,11
166,17,52,19,C,F,Midlands,East,Tin,0.01,4
167,8,30,35,D,F,North,N West,Tin,0.01,5
168,11,46,44,E,M,South East,London,Tin,0.01,5
169,NA,NA,27,D,F,Midlands,Wales & West,Silver,1000,5
170,8,NA,32,D,M,North,Yorkshire,Silver,420,5
171,6,48,38,E,M,South East,London,Silver,5000,4
172,16,36,52,F,F,Midlands,East,Tin,0.01,4
173,7,51,52,F,F,South East,London,Silver,2000,11
174,11,44,51,F,F,Midlands,Wales & West,Tin,0.01,8
175,12,35,27,D,M,South East,London,Gold,6000,3
176,5,64,9,B,F,Midlands,Midlands,Silver,1000,6
177,6,NA,1,A,U,South East,London,Gold,6000,NA
178,NA,64,52,F,M,Midlands,East,Silver,5000,2
179,8,64,2,A,M,Midlands,Midlands,Gold,6000,4
180,6,71,52,F,F,Midlands,Midlands,Silver,500,9
181,4,54,51,F,F,Midlands,Midlands,Gold,6000,2
182,9,30,44,E,M,Midlands,East,Silver,750,4
183,9,75,51,F,F,South East,London,Silver,1000,11
184,6,62,42,E,F,South East,S & S East,Gold,8300,8
185,14,71,27,D,,North,N East,Silver,3000,15
186,10,64,16,C,F,Midlands,Wales & West,Gold,6053.35,7
187,21,29,7,B,F,South East,London,Silver,630,3
188,9,50,32,D,F,Midlands,Midlands,Gold,7500,3
189,13,77,18,C,M,Midlands,Wales & West,Gold,6053.35,21
190,12,NA,12,B,M,North,Yorkshire,Silver,1000,1
191,NA,62,19,C,F,North,N West,Gold,8400,9
192,NA,51,46,F,F,North,N West,Tin,0.01,4
193,9,33,15,B,F,Midlands,Midlands,Gold,12000,2
194,6,69,52,F,F,South East,London,Gold,9000,5
195,19,56,53,F,F,Midlands,Midlands,Gold,7500,3
196,3,43,27,D,F,South East,London,Silver,100.01,8
197,3,46,34,D,M,South East,S & S East,Tin,0.01,5
198,12,62,15,B,F,South West,S West,Gold,12000,5
199,7,66,33,D,F,Midlands,Wales & West,Gold,12000,2
200,8,51,12,B,F,Midlands,Midlands,Gold,12215.28,6
201,11,49,14,B,F,South East,London,Tin,0.01,8
202,5,60,35,D,M,Scottish,C Scotland,Silver,5000,5
203,14,45,5,B,,South East,London,Gold,12000,8
204,7,53,1,A,,Scottish,C Scotland,Silver,3000,7
205,9,51,14,B,F,Midlands,Wales & West,Gold,6000,2
206,9,52,30,D,M,Midlands,East,Silver,1750,11
207,3,61,24,C,M,North,N West,Tin,0.01,5
208,11,63,53,F,M,North,N East,Silver,3240,12
209,6,34,27,D,F,Midlands,Wales & West,Tin,0.01,7
210,8,68,16,C,F,North,Yorkshire,Silver,3022.69,4
211,7,68,27,D,M,North,N West,Tin,0.01,8
212,6,70,7,B,M,South East,London,Silver,3000,2
213,6,45,27,D,F,South East,London,Gold,11053.35,7
214,13,NA,10,B,M,South East,London,Silver,2000,1
215,9,57,12,B,F,South East,London,Silver,3000,3
216,4,51,14,B,F,Midlands,Midlands,Gold,6000,3
217,10,34,39,E,F,South West,S West,Tin,0.01,5
218,6,65,4,A,F,South East,London,Silver,4000,4
219,14,67,28,D,M,Midlands,East,Silver,2000,8
220,8,37,34,D,M,South East,London,Tin,0.01,5
221,9,28,54,F,F,South East,S & S East,Silver,100,8
222,10,55,5,B,M,North,N West,Silver,1000,4
223,11,52,49,F,F,Midlands,Midlands,Gold,11000,9
224,15,31,52,F,F,South East,London,Silver,35,2
225,7,45,10,B,F,North,N West,Silver,100,1
226,9,61,37,E,M,North,N West,Tin,0.01,5
227,NA,31,20,C,F,North,N West,Silver,4952.78,1
228,6,48,22,C,F,South East,S & S East,Silver,4000,6
229,7,NA,8,B,M,South East,S & S East,Silver,3000,1
230,11,54,27,D,M,South East,London,Gold,6000,9
231,9,46,34,D,F,Midlands,East,Tin,0.01,9
232,10,65,40,E,M,South East,London,Gold,12107.64,6
233,5,51,16,C,,Midlands,Midlands,Platinum,34062.49,26
234,9,49,21,C,F,South East,London,Silver,300,8
235,7,54,4,A,F,North,N West,Gold,5924.64,14
236,13,60,26,C,F,South East,London,Gold,7000,2
237,7,49,10,B,F,Midlands,Wales & West,Silver,1000,5
238,10,73,19,C,,Midlands,Wales & West,Platinum,20496.41,3
239,7,73,37,E,M,Midlands,East,Tin,0.01,8
240,11,48,38,E,F,Midlands,East,Silver,2665.73,2
241,16,37,53,F,M,North,N West,Silver,0.02,5
242,9,47,51,F,,South East,London,Silver,10.2,10
243,7,59,5,B,,Midlands,Midlands,Silver,3200,5
244,10,48,10,B,F,North,N West,Gold,6000,13
245,10,36,52,F,M,Midlands,Midlands,Tin,0.01,5
246,10,27,52,F,F,South East,London,Silver,0.02,5
247,10,NA,26,C,M,South East,London,Tin,0.01,7
248,9,NA,24,C,F,Midlands,Midlands,Silver,2000,6
249,4,34,10,B,F,South East,S & S East,Tin,0.01,7
250,9,67,23,C,F,South East,S & S East,Gold,9000,8
251,6,47,38,E,M,North,Yorkshire,Silver,255.7,16
252,3,44,NA,,F,North,N East,Tin,0.01,6
253,9,68,41,E,F,South East,London,Platinum,20728.91,3
254,13,59,35,D,F,North,N East,Silver,3500,9
255,20,32,27,D,F,North,N East,Gold,6000.01,5
256,8,43,53,F,F,South East,London,Tin,0.01,5
257,8,56,52,F,M,South East,London,Gold,13000,5
258,10,61,24,C,F,Midlands,Midlands,Silver,4000,20
259,16,37,1,A,F,North,N West,Gold,12000,6
260,5,42,19,C,F,South East,S & S East,Silver,70.02,5
261,7,44,14,B,M,Scottish,C Scotland,Gold,14000,8
262,16,76,38,E,F,Midlands,Midlands,Gold,6000,2
263,12,49,37,E,F,Midlands,Midlands,Silver,3000,8
264,8,62,36,E,M,South East,S & S East,Tin,0.01,8
265,16,71,16,C,,South East,S & S East,Silver,780,12
266,7,76,37,E,F,Midlands,East,Gold,11400,8
267,11,56,45,E,F,Midlands,East,Silver,480,5
268,9,72,35,D,M,South East,London,Platinum,20498.42,3
269,9,78,10,B,,South East,London,Silver,2066.88,12
270,NA,73,37,E,F,Midlands,Midlands,Gold,7448.02,11
271,4,53,28,D,F,Midlands,Wales & West,Tin,0.01,4
272,9,54,43,E,,Midlands,East,Gold,18000,8
273,11,61,17,C,M,North,Yorkshire,Tin,0.01,5
274,8,78,35,D,F,Midlands,Midlands,Gold,6000,1
275,7,41,27,D,,South East,S & S East,Tin,0.01,4
276,11,NA,NA,,F,Midlands,East,Tin,0.01,7
277,6,44,28,D,F,Midlands,Midlands,Silver,50,9
278,8,49,51,F,F,North,Yorkshire,Tin,0.01,4
279,6,46,2,A,,Midlands,East,Silver,1020,9
280,NA,61,9,B,F,South East,London,Gold,6000,11
281,4,NA,23,C,F,South West,S West,Silver,2500,12
282,5,59,25,C,F,North,N West,Silver,5000,1
283,7,40,32,D,,South East,S & S East,Tin,0.01,5
284,6,55,18,C,F,Midlands,Midlands,Silver,1000,9
285,10,59,4,A,F,North,Yorkshire,Silver,50,10
286,11,NA,28,D,M,,,Gold,9000,3
287,7,79,28,D,F,Scottish,N Scot,Gold,16105.32,8
288,15,63,37,E,M,Midlands,Midlands,Silver,750,9
289,9,58,52,F,F,South East,London,Platinum,20369.93,3
290,11,78,34,D,,Scottish,C Scotland,Silver,500,1
291,6,59,27,D,U,South East,London,Silver,5000,6
292,13,34,22,C,F,South East,London,Silver,2400,1
293,4,38,NA,,F,Scottish,N Scot,Silver,3000,1
294,5,69,47,F,M,North,N West,Gold,5050,8
295,5,35,8,B,F,South East,S & S East,Tin,0.01,5
296,6,64,19,C,M,Midlands,Midlands,Gold,12000,2
297,10,72,3,A,U,South East,London,Gold,6500,18
298,10,49,49,F,U,Midlands,Midlands,Tin,0.01,9
299,7,52,27,D,F,South East,London,Tin,0.01,7
300,6,79,25,C,M,North,N West,Silver,3000,31
301,12,60,16,C,F,,,Tin,0.01,8
302,8,NA,37,E,F,Midlands,Midlands,Silver,500,2
303,6,58,37,E,M,South East,S & S East,Silver,3000,5
304,7,68,10,B,U,South East,London,Gold,6053.35,NA
305,6,70,12,B,F,North,N West,Gold,6000,8
306,8,38,50,F,M,North,N West,Tin,0.01,5
307,6,68,29,D,F,South East,London,Silver,1500,13
308,8,55,22,C,M,South East,S & S East,Tin,0.01,5
309,6,51,12,B,F,North,N West,Tin,0.01,4
310,9,31,35,D,F,South East,London,Silver,3500,1
311,7,51,27,D,F,South East,London,Tin,0.01,9
312,17,NA,1,A,F,South East,London,Silver,1000,13
313,11,NA,NA,,M,Midlands,Midlands,Silver,3000,6
314,10,49,7,B,,North,N East,Tin,0.01,8
315,8,50,18,C,M,North,N West,Tin,0.01,5
316,8,47,37,E,F,Midlands,Midlands,Tin,0.01,9
317,10,66,15,B,M,Midlands,East,Silver,2000,1
318,6,67,53,F,F,North,N West,Tin,0.01,8
319,7,61,35,D,M,Midlands,Midlands,Gold,13000,6
320,9,52,16,C,F,South East,London,Silver,3000,3
321,11,35,38,E,M,Midlands,East,Tin,0.01,5
322,10,61,8,B,F,South East,London,Gold,6000,2
323,7,62,28,D,,Scottish,N Scot,Silver,2000,7
324,7,NA,NA,,F,South East,London,Silver,0.02,8
325,7,77,30,D,M,South East,S & S East,Silver,1300,14
326,6,NA,49,F,M,South West,S West,Silver,2000,1
327,7,75,28,D,M,South East,London,Gold,12053.35,7
328,8,53,4,A,F,Midlands,Midlands,Silver,5000,26
329,12,57,28,D,M,Midlands,East,Gold,6000,2
330,9,67,19,C,M,South East,London,Gold,6000,5
331,2,NA,39,E,F,Scottish,N Scot,Gold,6000,13
332,11,39,40,E,F,South East,London,Silver,2800,1
333,6,51,38,E,M,South East,S & S East,Silver,1250,2
334,3,65,8,B,M,,,Gold,6000,1
335,12,NA,9,B,M,South East,London,Gold,8000,6
336,7,60,28,D,M,North,Yorkshire,Gold,18000,2
337,22,NA,53,F,F,Midlands,Wales & West,Silver,4000,5
338,6,69,14,B,M,South East,London,Gold,6000,1
339,8,70,4,A,,Scottish,C Scotland,Platinum,30712.01,7
340,8,33,19,C,M,Midlands,East,Silver,5000,2
341,14,73,12,B,F,South East,S & S East,Gold,10000,4
342,9,55,1,A,M,South East,London,Tin,0.01,4
343,6,69,31,D,M,South East,London,Silver,2000,5
344,NA,37,37,E,F,South East,S & S East,Gold,5514,4
345,7,35,8,B,F,South East,London,Silver,100,3
346,14,34,22,C,F,South East,London,Tin,0.01,10
347,11,36,10,B,F,South East,London,Silver,1050,1
348,12,32,51,F,F,Midlands,Wales & West,Silver,0.02,4
349,11,48,27,D,,Midlands,Midlands,Tin,0.01,7
350,2,30,46,F,F,North,N East,Tin,0.01,5
351,10,43,21,C,F,South East,London,Tin,0.01,NA
352,NA,61,24,C,F,South East,London,Gold,6000,2
353,8,NA,53,F,,Midlands,Midlands,Tin,0.01,4
354,9,44,28,D,F,North,N West,Tin,0.01,8
355,12,73,11,B,,Midlands,East,Silver,3000,5
356,11,52,32,D,F,North,N West,Silver,1500,8
357,8,63,46,F,M,North,N West,Silver,4000,2
358,NA,34,35,D,F,Midlands,Wales & West,Tin,0.01,5
359,6,70,37,E,,Midlands,East,Gold,16000,2
360,9,55,15,B,M,Midlands,East,Gold,5672.31,2
361,8,78,41,E,F,South East,London,Silver,3000,8
362,9,53,33,D,F,Midlands,East,Gold,6000,1
363,6,52,4,A,,North,N West,Silver,2430,2
364,9,66,4,A,F,South East,London,Tin,0.01,5
365,6,49,25,C,F,North,N West,Silver,1280,9
366,12,47,44,E,F,Midlands,East,Silver,500,9
367,19,74,2,A,F,Midlands,Midlands,Silver,4092.82,6
368,5,31,51,F,M,South East,S & S East,Silver,2000,1
369,14,50,8,B,M,South East,S & S East,Tin,0.01,4
370,7,74,45,E,F,Midlands,Midlands,Silver,3571.56,5
371,8,48,52,F,M,Scottish,C Scotland,Tin,0.01,8
372,14,44,7,B,,South East,London,Gold,12000,8
373,8,NA,38,E,F,Midlands,Midlands,Tin,0.01,5
374,11,26,38,E,F,South East,London,Silver,300,9
375,NA,77,4,A,F,South East,London,Gold,6053.35,7
376,11,66,35,D,,North,N West,Gold,6000,2
377,9,47,3,A,F,South East,London,Silver,954.63,9
378,12,66,12,B,F,Scottish,C Scotland,Gold,6053.35,5
379,9,57,23,C,F,Midlands,East,Silver,25,2
380,8,71,5,B,F,North,N West,Platinum,23587.02,7
381,NA,48,34,D,F,Midlands,Midlands,Silver,2000,12
382,9,41,25,C,F,South East,London,Silver,4000.01,9
383,7,43,15,B,M,Scottish,Border,Silver,3000,1
384,14,30,35,D,F,Midlands,East,Tin,0.01,7
385,10,44,34,D,F,South East,London,Tin,0.01,5
386,9,56,33,D,F,,,Gold,12000,1
387,8,76,41,E,F,Midlands,East,Platinum,35042.92,12
388,7,40,47,F,M,North,N East,Tin,0.01,4
389,11,55,24,C,,South East,London,Tin,0.01,7
390,12,46,4,A,M,South East,London,Silver,2035.25,5
391,10,44,4,A,F,Scottish,C Scotland,Silver,2000,1
392,6,NA,1,A,M,South East,London,Gold,9000,12
393,7,61,32,D,M,Midlands,Midlands,Platinum,20520.14,3
394,12,72,NA,,F,South East,London,Gold,6000,5
395,NA,49,37,E,F,North,N West,Silver,0.02,5
396,16,52,14,B,M,,,Gold,15000,10
397,9,70,10,B,M,South East,London,Silver,3000,0
398,10,49,41,E,,South East,London,Tin,0.01,8
399,12,64,27,D,F,Scottish,Border,Silver,2333.01,19
400,3,NA,17,C,F,North,N West,Gold,7500,2
401,10,72,52,F,F,Midlands,East,Gold,6053.34,4
402,5,57,7,B,F,South East,London,Gold,6315,5
403,4,39,47,F,F,North,Yorkshire,Tin,0.01,8
404,6,39,24,C,U,South East,London,Tin,0.01,8
405,7,63,NA,,F,North,Yorkshire,Tin,0.01,4
406,10,32,19,C,F,South East,London,Silver,3000,9
407,5,75,14,B,U,South East,London,Tin,0.01,4
408,4,NA,14,B,F,South East,London,Gold,12000,21
409,NA,72,37,E,M,Midlands,Midlands,Gold,10065.38,14
410,10,28,47,F,F,North,N West,Silver,3000,5
411,NA,58,17,C,F,South East,London,Gold,6000,2
412,8,75,27,D,F,Midlands,Midlands,Gold,15000,4
413,9,44,52,F,M,Scottish,C Scotland,Silver,1000,4
414,9,NA,14,B,M,South East,S & S East,Gold,18000,8
415,10,38,52,F,M,South East,London,Gold,9053.35,9
416,7,55,38,E,F,South East,S & S East,Tin,0.01,11
417,5,68,40,E,,South East,S & S East,Silver,3030,NA
418,8,60,NA,,M,South West,S West,Tin,0.01,5
419,3,44,48,F,,South East,S & S East,Tin,0.01,7
420,10,79,53,F,M,Midlands,Midlands,Silver,2000,18
421,3,62,28,D,F,South East,London,Tin,0.01,8
422,4,62,24,C,F,Midlands,Wales & West,Silver,3000.01,8
423,7,61,33,D,F,Midlands,Midlands,Silver,1260,2
424,8,58,25,C,U,Midlands,East,Gold,6000,3
425,11,35,33,D,U,South East,S & S East,Tin,0.01,5
426,NA,45,38,E,U,North,N East,Silver,1000,5
427,7,59,12,B,F,Midlands,Midlands,Gold,11701.6,2
428,5,65,35,D,F,North,N East,Silver,3000,8
429,10,63,14,B,F,Midlands,East,Gold,6000,2
430,11,58,13,B,F,South East,S & S East,Tin,0.01,12
431,3,61,35,D,F,Midlands,Wales & West,Gold,7000,6
432,17,61,52,F,F,Midlands,Midlands,Tin,0.01,8
433,9,44,38,E,F,North,Yorkshire,Silver,1600,9
434,15,69,44,E,F,Midlands,East,Tin,0.01,8
435,10,37,48,F,F,Midlands,Midlands,Tin,0.01,8
436,7,73,49,F,M,Midlands,East,Silver,1000,6
437,NA,33,12,B,M,Midlands,Wales & West,Silver,100,2
438,10,75,5,B,F,South East,London,Gold,12000,15
439,5,52,52,F,F,South East,London,Silver,300,9
440,NA,79,28,D,F,South East,London,Gold,6000,2
441,8,60,47,F,M,North,Yorkshire,Gold,7500,3
442,4,31,35,D,,North,Yorkshire,Tin,0.01,5
443,6,59,39,E,F,North,Yorkshire,Tin,0.01,8
444,NA,53,35,D,F,North,Yorkshire,Silver,820.01,7
445,7,33,52,F,F,Midlands,Wales & West,Tin,0.01,5
446,9,54,23,C,,Midlands,Wales & West,Tin,0.01,8
447,8,50,12,B,M,North,Yorkshire,Gold,6000,6
448,14,NA,5,B,F,South East,London,Gold,6000,25
449,10,51,7,B,U,South East,London,Tin,0.01,5
450,7,47,28,D,,South East,London,Tin,0.01,5
451,6,51,28,D,M,Midlands,Midlands,Silver,4000,5
452,11,48,52,F,F,South East,S & S East,Silver,3000,12
453,13,31,1,A,F,South East,London,Tin,0.01,6
454,10,67,4,A,M,South East,London,Gold,9000,7
455,6,52,53,F,F,Midlands,East,Tin,0.01,5
456,5,41,19,C,F,Midlands,Midlands,Gold,6105.32,7
457,8,27,54,F,,South East,S & S East,Silver,420.01,5
458,10,44,44,E,F,South East,London,Silver,600,1
459,6,37,48,F,F,South East,S & S East,Tin,0.01,4
460,14,43,52,F,F,South West,S West,Tin,0.01,8
461,5,38,14,B,U,Midlands,Wales & West,Tin,0.01,8
462,6,NA,32,D,F,North,Yorkshire,Silver,1000,3
463,10,47,41,E,M,Midlands,Wales & West,Silver,2000,2
464,8,72,52,F,F,South East,S & S East,Silver,3000,2
465,6,61,52,F,M,North,Yorkshire,Silver,5000,2
466,11,63,12,B,M,South East,S & S East,Gold,7500,9
467,10,55,6,B,F,South East,S & S East,Tin,0.01,11
468,8,78,13,B,U,North,N West,Gold,13000,4
469,5,32,9,B,M,South East,London,Silver,1200,1
470,14,66,8,B,F,South East,S & S East,Gold,18000,5
471,5,44,35,D,F,North,N East,Silver,1000,1
472,10,72,28,D,F,North,Yorkshire,Silver,3026.67,7
473,8,33,32,D,M,Midlands,Midlands,Tin,0.01,4
474,6,50,44,E,F,Midlands,Midlands,Silver,1000,10
475,NA,60,24,C,M,North,N West,Tin,0.01,5
476,NA,72,28,D,U,Midlands,Midlands,Silver,1000,17
477,10,69,23,C,,Scottish,Border,Gold,10000,25
478,9,NA,27,D,M,North,N West,Gold,6000,29
479,6,68,19,C,,Midlands,Midlands,Tin,0.01,5
480,10,32,50,F,M,Midlands,East,Gold,6000,1
481,9,55,34,D,,Midlands,Midlands,Tin,0.01,5
482,12,53,16,C,,North,N East,Tin,0.01,8
483,2,51,32,D,M,Midlands,Midlands,Tin,0.01,4
